,natureza_acidente,bairro,tipo,condicao_via,dia_da_semana,mes,hora_bruta
0,1,12,1,4,1,1,1
1,0,52,10,4,1,1,8
2,0,45,11,4,1,1,9
3,0,75,7,4,1,1,9
4,1,15,8,4,1,1,13
5,1,64,8,4,1,1,17
6,1,38,1,4,1,1,19
7,0,40,11,4,1,1,20
8,1,49,0,4,2,1,7
9,0,80,0,4,2,1,8
10,1,42,12,4,2,1,8
11,0,7,0,4,2,1,8
12,1,12,0,4,2,1,8
13,1,58,0,4,2,1,9
14,1,49,12,4,2,1,11
15,1,51,0,4,2,1,13
16,1,58,1,4,2,1,14
17,2,15,10,4,2,1,15
18,1,12,1,4,2,1,16
19,0,83,7,4,2,1,17
20,1,83,0,4,2,1,18
21,0,75,1,4,3,1,6
22,0,75,1,4,3,1,7
23,0,13,11,4,3,1,7
24,0,57,7,4,3,1,7
25,1,39,12,4,3,1,9
26,1,72,12,4,3,1,9
27,1,49,0,4,3,1,10
28,0,79,1,4,3,1,11
29,0,12,9,4,3,1,12
30,0,49,1,4,3,1,15
31,1,31,10,4,3,1,15
32,1,69,0,4,3,1,16
33,0,88,3,4,4,1,7
34,0,1,11,4,4,1,12
35,1,67,0,4,4,1,12
36,0,42,9,4,4,1,14
37,0,79,1,4,4,1,18
38,1,0,12,4,4,1,18
39,0,49,12,4,4,1,19
40,2,1,3,4,4,1,22
41,1,85,7,4,4,1,23
42,0,8,1,4,4,1,23
43,1,69,0,4,5,1,1
44,0,58,7,4,5,1,6
45,1,12,0,4,5,1,10
46,0,49,1,4,5,1,11
47,0,19,0,4,5,1,11
48,1,63,0,4,5,1,11
49,1,73,12,4,5,1,12
50,0,78,1,4,5,1,13
51,1,9,1,4,6,1,2
52,1,12,1,0,6,1,6
53,1,45,11,0,6,1,18
54,0,12,12,4,6,1,18
55,1,51,0,4,6,1,20
56,0,79,14,0,0,1,6
57,0,12,0,4,0,1,8
58,0,70,1,4,0,1,10
59,0,25,3,0,0,1,10
60,0,1,0,4,0,1,11
61,1,13,11,4,0,1,13
62,0,9,7,4,0,1,14
63,0,8,1,4,5,1,10
64,1,31,1,4,0,1,15
65,0,83,1,4,0,1,16
66,1,12,12,4,0,1,16
67,0,3,1,4,0,1,21
68,0,19,10,4,1,1,7
69,1,90,8,4,1,1,7
70,1,78,8,4,1,1,12
71,1,85,0,4,1,1,13
72,0,50,11,4,1,1,15
73,1,42,12,4,1,1,20
74,1,12,1,4,2,1,5
75,0,12,0,4,2,1,7
76,1,49,0,4,2,1,9
77,1,7,12,4,2,1,10
78,1,40,0,4,2,1,14
79,0,85,12,4,2,1,15
80,0,92,10,4,2,1,15
81,0,81,3,4,2,1,15
82,1,34,12,4,2,1,18
83,0,37,1,4,2,1,20
84,0,31,0,4,2,1,21
85,1,12,1,4,2,1,22
86,0,75,1,4,2,1,22
87,1,53,0,4,3,1,8
88,1,69,12,4,3,1,11
89,1,78,0,4,3,1,11
90,1,23,0,4,3,1,11
91,0,49,0,4,3,1,13
92,1,39,0,4,3,1,14
93,1,79,12,4,3,1,15
94,0,39,0,4,3,1,16
95,1,12,0,4,3,1,16
96,0,58,1,4,3,1,17
97,1,37,0,4,3,1,17
98,1,49,0,0,3,1,20
