,natureza_acidente,bairro,tipo,dia_da_semana,mes,ano,hora_bruta
0,0,81,3,0,1,2018,0
1,1,31,9,0,1,2018,2
2,1,12,9,0,1,2018,3
3,1,9,9,0,1,2018,7
4,1,23,9,0,1,2018,7
5,1,92,9,0,1,2018,16
6,1,8,9,0,1,2018,18
7,1,48,9,0,1,2018,18
8,1,12,6,1,1,2018,1
9,1,78,9,1,1,2018,8
10,1,1,9,1,1,2018,9
11,1,24,9,1,1,2018,9
12,1,40,9,1,1,2018,9
13,1,23,9,1,1,2018,11
14,1,83,9,1,1,2018,13
15,1,12,9,1,1,2018,13
16,1,6,9,1,1,2018,15
17,0,9,9,1,1,2018,16
18,1,31,9,1,1,2018,16
19,0,8,6,1,1,2018,16
20,1,9,9,1,1,2018,16
21,0,6,9,1,1,2018,17
22,1,12,13,1,1,2018,17
23,1,25,9,1,1,2018,18
24,1,34,9,1,1,2018,19
25,1,23,9,1,1,2018,19
26,1,1,9,1,1,2018,19
27,1,12,9,1,1,2018,20
28,1,12,9,1,1,2018,21
29,1,51,9,1,1,2018,21
30,1,75,9,2,1,2018,0
31,1,51,6,2,1,2018,0
32,1,51,6,2,1,2018,6
33,1,7,9,2,1,2018,7
34,1,50,9,2,1,2018,7
35,0,34,9,2,1,2018,7
36,0,50,9,2,1,2018,7
37,0,12,9,2,1,2018,7
38,1,53,9,2,1,2018,8
39,1,8,9,2,1,2018,8
40,1,12,9,2,1,2018,9
41,0,45,9,2,1,2018,10
42,1,80,9,2,1,2018,10
43,1,49,9,2,1,2018,10
44,1,13,9,2,1,2018,11
45,0,49,9,2,1,2018,12
46,0,78,9,2,1,2018,12
47,1,12,9,2,1,2018,12
48,1,11,9,2,1,2018,14
49,1,37,9,2,1,2018,14
50,1,69,9,2,1,2018,14
51,1,12,9,2,1,2018,15
52,0,69,9,2,1,2018,15
53,1,12,9,2,1,2018,16
54,1,14,9,2,1,2018,16
55,1,25,9,2,1,2018,16
56,1,47,6,2,1,2018,16
57,1,31,9,2,1,2018,16
58,1,90,9,2,1,2018,18
59,1,11,9,2,1,2018,20
60,0,25,9,2,1,2018,20
61,1,73,9,2,1,2018,20
62,1,53,9,3,1,2018,3
63,0,85,9,3,1,2018,6
64,0,49,6,3,1,2018,7
65,1,78,9,3,1,2018,8
66,0,55,9,3,1,2018,8
67,1,81,9,3,1,2018,9
68,1,49,9,3,1,2018,9
69,1,78,9,3,1,2018,9
70,1,78,9,3,1,2018,9
71,1,12,9,3,1,2018,9
72,1,46,9,3,1,2018,9
73,1,73,9,3,1,2018,10
74,1,78,9,3,1,2018,10
75,1,23,9,3,1,2018,10
76,0,49,9,3,1,2018,11
77,1,35,9,3,1,2018,12
78,1,13,9,3,1,2018,14
79,1,12,9,3,1,2018,14
80,1,23,9,3,1,2018,15
81,1,90,9,3,1,2018,15
82,1,1,9,3,1,2018,15
83,1,78,9,3,1,2018,16
84,1,22,13,3,1,2018,16
85,1,1,9,3,1,2018,17
86,1,0,9,3,1,2018,17
87,1,75,9,3,1,2018,17
88,1,49,9,3,1,2018,18
89,0,69,9,3,1,2018,18
90,0,49,10,3,1,2018,18
91,1,12,9,3,1,2018,19
92,0,40,9,3,1,2018,19
93,0,66,6,3,1,2018,19
94,1,31,9,3,1,2018,21
95,1,22,9,4,1,2018,0
96,0,78,2,4,1,2018,7
97,1,1,9,4,1,2018,7
98,1,9,9,4,1,2018,8
99,1,81,9,4,1,2018,8
100,1,50,9,4,1,2018,8
101,1,69,9,4,1,2018,8
102,1,37,9,4,1,2018,8
103,0,78,2,4,1,2018,8
104,1,1,9,4,1,2018,8
105,1,12,9,4,1,2018,9
106,1,37,9,4,1,2018,9
107,1,7,9,4,1,2018,10
108,1,25,9,4,1,2018,10
109,1,31,9,4,1,2018,10
110,1,49,9,4,1,2018,11
111,1,12,9,4,1,2018,11
112,1,53,9,4,1,2018,11
113,1,12,9,4,1,2018,12
114,0,12,9,4,1,2018,12
115,1,58,9,4,1,2018,13
116,1,13,9,4,1,2018,13
117,1,42,9,4,1,2018,13
118,1,49,9,4,1,2018,13
119,1,49,9,4,1,2018,13
120,1,12,13,4,1,2018,14
121,1,74,9,4,1,2018,14
122,1,12,9,4,1,2018,14
123,1,49,9,4,1,2018,15
124,1,85,13,4,1,2018,15
125,1,23,6,4,1,2018,15
126,1,49,9,4,1,2018,16
127,1,78,9,4,1,2018,16
128,1,34,9,4,1,2018,16
129,0,19,9,4,1,2018,16
130,1,19,9,4,1,2018,17
131,1,85,9,4,1,2018,18
132,1,50,9,4,1,2018,18
133,1,12,9,4,1,2018,20
134,1,37,9,5,1,2018,7
135,1,88,9,5,1,2018,7
136,1,13,9,5,1,2018,7
137,1,34,9,5,1,2018,9
138,1,56,9,5,1,2018,9
139,1,12,9,5,1,2018,10
140,0,13,9,5,1,2018,11
141,1,1,9,5,1,2018,11
142,0,83,9,5,1,2018,12
143,0,19,9,5,1,2018,12
144,1,42,9,5,1,2018,12
145,1,1,9,5,1,2018,12
146,1,19,9,5,1,2018,13
147,1,24,9,5,1,2018,14
148,1,13,9,5,1,2018,15
149,1,50,9,5,1,2018,15
150,1,69,9,5,1,2018,16
151,1,23,9,5,1,2018,17
152,1,58,9,5,1,2018,17
153,0,55,9,5,1,2018,17
154,1,51,9,5,1,2018,17
155,1,24,9,5,1,2018,19
156,1,74,9,5,1,2018,19
157,1,78,9,5,1,2018,23
158,0,12,9,6,1,2018,9
159,0,23,9,6,1,2018,9
160,1,24,9,6,1,2018,9
161,0,49,9,6,1,2018,12
162,0,12,9,6,1,2018,14
163,1,88,9,6,1,2018,15
164,1,84,9,6,1,2018,17
165,1,9,9,6,1,2018,17
166,0,39,9,6,1,2018,18
167,1,58,9,6,1,2018,19
168,1,12,9,6,1,2018,19
169,0,6,9,6,1,2018,19
170,1,45,9,6,1,2018,20
171,0,23,9,6,1,2018,20
172,1,24,9,6,1,2018,23
173,1,78,9,0,1,2018,6
174,1,51,9,0,1,2018,7
175,1,66,9,0,1,2018,8
176,1,49,9,0,1,2018,8
177,1,49,13,0,1,2018,9
178,1,25,9,0,1,2018,9
179,0,49,3,0,1,2018,9
180,0,31,9,0,1,2018,10
181,1,69,9,0,1,2018,11
182,1,79,9,0,1,2018,11
183,1,78,9,0,1,2018,12
184,1,58,9,0,1,2018,12
185,1,24,9,0,1,2018,12
186,1,12,9,0,1,2018,13
187,1,34,9,0,1,2018,13
188,1,28,9,0,1,2018,14
189,1,23,9,0,1,2018,14
190,1,75,9,0,1,2018,14
191,1,49,9,0,1,2018,14
192,1,86,9,0,1,2018,14
193,1,64,9,0,1,2018,14
194,1,12,9,0,1,2018,14
195,1,92,9,0,1,2018,14
196,1,12,9,0,1,2018,15
197,1,58,9,0,1,2018,15
198,1,28,9,0,1,2018,16
199,1,13,9,0,1,2018,16
200,1,90,9,0,1,2018,16
201,0,19,9,0,1,2018,18
202,1,58,9,0,1,2018,18
203,1,1,9,0,1,2018,18
204,1,69,9,0,1,2018,20
205,0,90,3,0,1,2018,20
206,1,19,9,0,1,2018,22
207,1,58,9,0,1,2018,23
208,1,85,9,1,1,2018,6
209,1,39,9,1,1,2018,6
210,1,49,9,1,1,2018,7
211,0,49,9,1,1,2018,7
212,1,12,9,1,1,2018,8
213,0,22,9,1,1,2018,8
214,0,49,9,1,1,2018,8
215,1,49,9,1,1,2018,8
216,0,39,3,1,1,2018,8
217,0,25,9,1,1,2018,8
218,1,34,9,1,1,2018,8
219,1,78,9,1,1,2018,9
220,1,49,9,1,1,2018,11
221,1,85,9,1,1,2018,11
